업소명,위도,경도,업태,시군구,소  재  지,전화번호 ,주메뉴
선혜미가,35.59162596,129.0890759,한식,울주군,울산광역시 울주군 상북면 상북로 304,052-263-5502,두부전골
다래정식,35.61483408,129.0691099,한식,울주군,울산광역시 울주군 상북면 석남로 844,052-254-2248,한정식
금장생복집,35.34835236,129.3289267,한식,울주군,울산광역시 울주군 서생면 당물길 33,052-239-5638,복국
김양집,35.3470286,129.3224902,한식,울주군,울산광역시 울주군 서생면 신암해안길 13,052-239-5539,곰장어구이
일출횟집,35.38514799,129.3468867,일식,울주군,울산광역시 울주군 서생면 진하해변길 62,052-238-0365,생선회
히노아지 간절곶점,35.35587839,129.3462363,일식,울주군,울산광역시 울주군 서생면 해맞이로 1130,052-238-1607,일본식라면
보광보리밥칼국수,35.34586038,129.3152733,한식,울주군,울산광역시 울주군 서생면 해맞이로 787,052-239-5562,보리밥/칼국수
대덕화,35.35582064,129.2925967,한식,울주군,울산광역시 울주군 서생면 화산마을1길 50,052-238-3007,오리불고기
해돋이,35.57050653,129.1197703,한식,울주군,울산광역시 울주군 언양읍 읍성로 95,052-262-3291,누룽지백숙
알프스염소,35.59642237,129.1350417,한식,울주군,울산광역시 울주군 언양읍 정거고중길 2-27,052-224-3300,흑염소요리
공원불고기,35.5651792,129.1254915,한식,울주군,울산광역시 울주군 언양읍 헌양길 32,052-262-0421,한우불고기
언양기와집불고기,35.56536774,129.1220362,한식,울주군,울산광역시 울주군 언양읍 헌양길 86,052-262-4884,한우불고기
가지산언양불고기,35.56554003,129.1215473,한식,울주군,울산광역시 울주군 언양읍 헌양길 96,052-254-5899,한우불고기
원할머니보쌈/족발/박가부대찌개,35.43107104,129.3083832,한식,울주군,울산광역시 울주군 온산읍 덕남로 58,052-237-7766,보쌈
대운터,35.43596941,129.3013958,한식,울주군,울산광역시 울주군 온산읍 덕동1길 5,052-238-5289,오리불고기
텃밭,35.41510832,129.3039364,한식,울주군,울산광역시 울주군 온양읍 동상로 241,052-276-9411,정식
발리동천,35.39931592,129.3025617,한식,울주군,울산광역시 울주군 온양읍 선양골길 105-16,052-237-1634,한정식
대대 찹쌀아구찜,35.4452945,129.1920736,한식,울주군,울산광역시 울주군 웅촌면 상대길 52-15,052-247-7799,아구찜
원터가든,35.48459305,129.218377,한식,울주군,울산광역시 울주군 웅촌면 웅촌로 642-9,052-225-3277,오리탕
정수장추어탕,35.46503311,129.2872583,한식,울주군,울산광역시 울주군 청량면 대복동천로 790-2,052-268-2622,추어탕
진부령황태,35.52634701,129.2517793,한식,울주군,울산광역시 울주군 청량면 상보두현길 53-1,052-224-7127,황태정식
도담,35.5271571,129.2450283,한식,울주군,울산광역시 울주군 청량면 웅촌로 1231-4,052-249-6849,명태찜
